product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country
18 Spring Gel (十八春催情缩阴精华素),Gel,Transparent,na,na,Sildenafil,na,na
4X Lebih Dahsyat Obat Kuat & Tahan Lama Urat Madu Capsule,Capsule,Red,Oblong,URAT MADU,Sildenafil,PJ. AIR MADU Malang,Indonesia
Africa Black Ant 2500mg Capsule (非洲黑蚁王),Capsule,White,Oblong,金聖力,Sibutramine; Sildenafil; Tadalafil; Imidazosagatriazinone,na,na
African Superman (非洲超人),Tablet,Black,Oblong,AVLS,Sildenafil,African Duoronzi Medicine Nations Group Neimenggu Shenqi BioNAmedic Co.; Ltd,Tibet
Aidi Brand Wodibo Capsule (艾迪牌五便宝胶囊),Capsule,Blue,Oblong,na,Sildenafil; Tadalafil,Shang Qiu Shi Ai Di Bao Jian Pin You Xian Gong Si &Shang Hai Bao Ni Kang Bao Jian Pin You Xian Gong Si Zong Jing Xiao (商丘市艾迪保健品有限公司 & 上海保尼康保健品有限公司总经销),na
Ali Baba,na,Brown,na,na,Lignocaine,na,na
Aliba (阿里巴巴男士性功能专用),Capsule,Blue,Oblong,阿里巴巴,Sildenafil; Tadalafil; Vardenafil,na,na
Aloe Vera Waste Discharging & Beauty 250mg Capsule (芦荟排毒养颜胶囊),Capsule,Green,Oblong,na,Sibutramine,Guang Zhou Kang Shi Yuan Sheng Wu Ke Ji Fa Zhan You Xian Gong Si (广州康仕源生物科技发展有限公司),China
AMACE For Him 300mg/capsule,Capsule,Blue; White,Oblong,na,NNAcyclopentyl nortadalfil,na,Singapore
America Cowboy 500mg Capsule (美國牛仔胶囊),Capsule,Green,Oblong,na,Sildenafil,na,na
American Moxman (美国魔根),Capsule,Red; White,Oblong,na,Sibutramine; Sildenafil,Lian He Fei Long Xiang Gang Bao Jian Pin You Xian Gong Si (联合飞龙香港保健品有限公司),China
Amrih Sehat Ramping Jelita Shio Lie Ta 500mg Capsule (必力大),Capsule,Orange,Oblong,na,Sibutramine,PJ. Amrih Sehat,Indonesia
Aulura™ (奥露娜™ 减肥胶囊),Capsule,Green; Gold,Oblong,na,Phenolphthalein; Sibutramine,Guangdong Guangjitang Medical & Health Products Co.; Ltd (广东广济堂医药保健品有限公司),China
Bai Wei Tablet (百威),Tablet,Black,Triangle,HF,Sildenafil,na,na
Balsam Pear Fat Loss Capsule (苦瓜清脂减肥胶囊),Capsule,Maroon,Oblong,na,Phenolphthalein; Sibutramine,Guangzhou Bao Yuan Sheng Wu Ke Ji You Xian Gong Si (广州宝园生物科技有限公司),China
Bao Ling Capsules (保灵丸) Advance Finger Press Therapy,Capsule,Red,Oblong,na,Chlorpheniramine; Frusemide; Piroxicam,na,Malaysia
Baolong Brand Ai Jia Ai 3000mg Capsule (寶壟牌爱加爱),Capsule,Black; Red,Oblong,na,Sildenafil,Nei Meng E Er Duo Si Shi Kang De Bao Jian Pin Chang  (内蒙鄂尔多斯市康得保健品厂),na
Baolong Brand USA Zhanshen 2000mg Capsule (寶龍牌美国战神),Capsule,Maroon,Oblong,na,Sildenafil,na,na
